"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Afghanistan","Area equipped for irrigation: total (1000 ha)",,,"",,1967,2715.0,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,3199.0,"",,2002,3208.0,"",,,,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Albania","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,397.0,"",,1994,340.0,"",,2002,346.0,"",,,,"",,2012,346.0,"",,2015,353.4,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Algeria","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,555.5,"",,,,"",,2001,569.4,"",,,,"",,2012,1230.0,"I",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Andorra","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.15,"",,,,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Angola","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,1975,80.0,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2005,85.53,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Antigua and Barbuda","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,0.13,"",,,,"",,,,"",,,,"",,2014,0.3845,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Argentina","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1988,1455.0,"",,1995,1550.0,"",,,,"",,,,"",,2011,2357.0,"I",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Armenia","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,275.8,"",,1997,284.5,"",,2002,273.5,"",,2006,273.5,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Australia","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,1832.0,"",,1995,2400.0,"",,2000,2384.0,"",,2006,2546.0,"K",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Austria","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,96.26,"K",,2000,95.14,"K",,2007,117.0,"",,2010,91.97,"K","[1]",2013,119.8,"K","[2]"

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Azerbaijan","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,1450.0,"",,1995,1454.0,"",,2002,1426.0,"",,2003,1426.0,"",,2010,1425.0,"K",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bahamas","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,1.0,"",,,,"",,,,"",,2012,1.0,"I",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bahrain","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,3.165,"",,2001,4.06,"",,,,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bangladesh","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,1982,1520.0,"",,1987,2199.0,"",,1992,3100.0,"",,1995,3751.0,"",,,,"",,,,"",,2008,5050.0,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Barbados","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1989,5.435,"",,,,"",,,,"",,2005,5.435,"I",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belarus","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,131.0,"",,2001,115.0,"",,2006,114.1,"",,2011,30.6,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belgium","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,17.88,"K",,1997,35.11,"K",,2000,32.59,"K",,2007,23.35,"K","[3]",2010,13.56,"K","[4]",2013,19.18,"K","[5]"

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belize","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,3.0,"",,,,"",,2005,3.548,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Benin","Area equipped for irrigation: total (1000 ha)",,,"",,,,"",,,,"",,1975,3.932,"",,1980,9.665,"",,1985,9.673,"",,1990,9.724,"",,1994,10.24,"",,2002,12.26,"I",,,,"",,2008,23.04,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
