"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Afghanistan","% of the cultivated area equipped for irrigation (%)",,,"",,1967,34.03,"K",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,41.07,"K",,2002,41.38,"K",,,,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Albania","% of the cultivated area equipped for irrigation (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,56.47,"K",,1994,48.57,"K",,2002,49.5,"K",,,,"",,2012,49.71,"K",,2015,50.78,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Algeria","% of the cultivated area equipped for irrigation (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,6.863,"K",,,,"",,2001,6.939,"K",,,,"",,2012,14.59,"K",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Andorra","% of the cultivated area equipped for irrigation (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,6.0,"K",,,,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Angola","% of the cultivated area equipped for irrigation (%)",,,"",,,,"",,,,"",,1975,2.353,"K",,,,"",,,,"",,,,"",,,,"",,,,"",,2005,2.318,"K",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Antigua and Barbuda","% of the cultivated area equipped for irrigation (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,2.6,"K",,,,"",,,,"",,,,"",,2014,7.69,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Argentina","% of the cultivated area equipped for irrigation (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1988,5.233,"K",,1995,5.47,"K",,,,"",,,,"",,2011,5.783,"K",,,,"",

