"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Afghanistan","Population density (inhab/km2)",1962,14.31,"E",,1967,15.88,"E",,1972,17.95,"E",,1977,20.0,"E",,1982,19.4,"E",,1987,17.37,"E",,1992,21.06,"E",,1997,27.62,"E",,2002,32.91,"E",,2007,39.64,"E",,2012,45.53,"E",,2015,49.82,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Albania","Population density (inhab/km2)",1962,60.45,"E",,1967,69.53,"E",,1972,78.4,"E",,1977,87.58,"E",,1982,96.97,"E",,1987,108.6,"E",,1992,112.7,"E",,1997,107.5,"E",,2002,108.6,"E",,2007,104.7,"E",,2012,100.2,"E",,2015,100.8,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Algeria","Population density (inhab/km2)",1962,4.908,"E",,1967,5.607,"E",,1972,6.456,"E",,1977,7.427,"E",,1982,8.639,"E",,1987,10.04,"E",,1992,11.41,"E",,1997,12.55,"E",,2002,13.43,"E",,2007,14.39,"E",,2012,15.72,"E",,2015,16.65,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Andorra","Population density (inhab/km2)",1962,32.72,"E",,1967,44.15,"E",,1972,57.21,"E",,1977,69.72,"E",,1982,83.21,"E",,1987,103.1,"E",,1992,125.3,"E",,1997,136.5,"E",,2002,151.2,"E",,2007,180.6,"E",,2012,168.8,"E",,2015,149.9,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Angola","Population density (inhab/km2)",1962,4.384,"E",,1967,4.783,"E",,1972,5.284,"E",,1977,6.017,"E",,1982,7.065,"E",,1987,8.251,"E",,1992,9.504,"E",,1997,11.07,"E",,2002,12.92,"E",,2007,15.39,"E",,2012,18.2,"E",,2015,20.07,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Antigua and Barbuda","Population density (inhab/km2)",1962,128.0,"E",,1967,140.9,"E",,1972,152.7,"E",,1977,159.6,"E",,1982,156.7,"E",,1987,144.3,"E",,1992,144.2,"E",,1997,164.2,"E",,2002,181.9,"E",,2007,191.8,"E",,2012,202.4,"E",,2015,208.7,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Argentina","Population density (inhab/km2)",1962,7.656,"E",,1967,8.248,"E",,1972,8.913,"E",,1977,9.667,"E",,1982,10.43,"E",,1987,11.27,"E",,1992,12.1,"E",,1997,12.89,"E",,2002,13.63,"E",,2007,14.38,"E",,2012,15.14,"E",,2015,15.62,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Armenia","Population density (inhab/km2)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,116.0,"E",,1997,105.5,"E",,2002,102.5,"E",,2007,100.5,"E",,2012,100.1,"E",,2015,101.5,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Australia","Population density (inhab/km2)",1962,1.381,"E",,1967,1.547,"E",,1972,1.726,"E",,1977,1.836,"E",,1982,1.951,"E",,1987,2.108,"E",,1992,2.266,"E",,1997,2.391,"E",,2002,2.521,"E",,2007,2.71,"E",,2012,2.96,"E",,2015,3.096,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
