"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Afghanistan","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,38.47,"E",,2007,30.62,"E",,2012,24.6,"E",,2015,22.6,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Albania","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,1982,31.7,"E",,1987,33.2,"E",,1992,51.64,"E",,1997,32.7,"E",,2002,24.24,"E",,2007,19.87,"E",,2012,21.66,"E",,2015,22.05,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Algeria","Agriculture, value added (% GDP) (%)",,,"",,1967,10.33,"E",,1972,8.421,"E",,1977,8.47,"E",,1982,8.39,"E",,1987,12.87,"E",,1992,12.13,"E",,1997,9.482,"E",,2002,9.766,"E",,2007,7.688,"E",,2012,9.396,"E",,2015,13.05,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Andorra","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.3874,"E",,2007,0.3757,"E",,2012,0.5681,"E",,2013,0.5239,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Angola","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,1987,14.2,"E",,1992,10.31,"E",,1997,9.002,"E",,2001,8.156,"E",,,,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Antigua and Barbuda","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,1977,10.96,"E",,1982,6.212,"E",,1987,4.519,"E",,1992,4.231,"E",,1997,4.107,"E",,2002,2.0,"E",,2007,1.937,"E",,2012,2.217,"E",,2015,2.372,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Argentina","Agriculture, value added (% GDP) (%)",,,"",,1967,9.98,"E",,1972,10.98,"E",,1977,8.087,"E",,1982,9.596,"E",,1987,8.094,"E",,1992,5.991,"E",,1997,5.673,"E",,2002,10.82,"E",,2007,8.781,"E",,2012,6.697,"E",,2014,8.314,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Armenia","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,31.04,"E",,1997,31.97,"E",,2002,25.96,"E",,2007,20.28,"E",,2012,20.07,"E",,2015,19.35,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Australia","Agriculture, value added (% GDP) (%)",,,"",,,,"",,1972,7.034,"E",,1977,6.153,"E",,1982,6.101,"E",,1987,4.958,"E",,1992,3.349,"E",,1997,3.555,"E",,2002,4.309,"E",,2007,2.401,"E",,2012,2.447,"E",,2015,2.384,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Austria","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,1977,4.997,"E",,1982,4.117,"E",,1987,3.623,"E",,1992,2.771,"E",,1997,2.148,"E",,2002,1.757,"E",,2007,1.6,"E",,2012,1.536,"E",,2015,1.33,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Azerbaijan","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,28.51,"E",,1997,21.73,"E",,2002,15.17,"E",,2007,7.002,"E",,2012,5.492,"E",,2015,6.791,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bahamas","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,1987,2.085,"E",,1992,3.144,"E",,1997,3.375,"E",,2002,3.124,"E",,2007,2.327,"E",,2012,2.342,"E",,2014,1.768,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bahrain","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,1982,1.058,"E",,1987,1.343,"E",,1992,0.9099,"E",,1995,0.8629,"E",,,,"",,,,"",,2012,0.2757,"E",,2015,0.3004,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bangladesh","Agriculture, value added (% GDP) (%)",1962,57.02,"E",,1967,55.85,"E",,1972,59.61,"E",,1977,48.9,"E",,1982,32.98,"E",,1987,34.77,"E",,1992,29.38,"E",,1997,24.46,"E",,2002,21.67,"E",,2007,18.71,"E",,2012,17.09,"E",,2015,15.51,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Barbados","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,1.326,"E",,2012,1.449,"E",,2014,1.444,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belarus","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,23.57,"E",,1997,15.38,"E",,2002,11.78,"E",,2007,9.675,"E",,2012,9.805,"E",,2015,7.796,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belgium","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,1.484,"E",,2002,1.145,"E",,2007,0.9907,"E",,2012,0.877,"E",,2015,0.6162,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belize","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,1982,22.51,"E",,1987,22.75,"E",,1992,18.27,"E",,1997,17.97,"E",,2002,15.34,"E",,2007,13.39,"E",,2012,15.01,"E",,2014,15.52,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Benin","Agriculture, value added (% GDP) (%)",1962,44.71,"E",,1967,42.08,"E",,1972,34.23,"E",,1977,31.86,"E",,1982,32.5,"E",,1987,33.28,"E",,1992,33.94,"E",,1997,35.78,"E",,2002,26.89,"E",,2007,27.62,"E",,2012,25.24,"E",,2015,23.19,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bhutan","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,1982,42.18,"E",,1987,36.62,"E",,1992,34.35,"E",,1997,31.2,"E",,2002,26.34,"E",,2007,19.23,"E",,2012,16.98,"E",,2015,17.06,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bolivia (Plurinational State of)","Agriculture, value added (% GDP) (%)",,,"",,,,"",,1972,20.19,"E",,1977,20.85,"E",,1982,17.63,"E",,1987,17.72,"E",,1992,16.03,"E",,1997,17.24,"E",,2002,14.9,"E",,2007,12.88,"E",,2012,12.92,"E",,2014,12.99,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bosnia and Herzegovina","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,21.34,"E",,2002,10.09,"E",,2007,9.717,"E",,2012,7.505,"E",,2015,7.104,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Botswana","Agriculture, value added (% GDP) (%)",1962,40.46,"E",,1966,39.3,"E",,1970,28.5,"",,1977,24.9,"E",,1982,11.67,"E",,1987,6.699,"E",,1992,5.205,"E",,1997,3.811,"E",,2002,2.592,"E",,2007,2.495,"E",,2012,2.932,"E",,2015,2.408,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Brazil","Agriculture, value added (% GDP) (%)",1962,17.35,"E",,1967,15.11,"E",,1972,12.99,"E",,1977,14.67,"E",,1982,8.968,"E",,1987,10.01,"E",,1992,7.72,"E",,1997,5.331,"E",,2002,6.417,"E",,2007,5.18,"E",,2012,4.912,"E",,2015,5.215,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Brunei Darussalam","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,1977,1.017,"E",,1982,0.8438,"E",,1987,1.931,"E",,1992,0.9652,"E",,1997,1.227,"E",,2002,1.094,"E",,2007,0.6897,"E",,2012,0.7151,"E",,2013,0.7258,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bulgaria","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,1982,17.17,"E",,1987,11.42,"E",,1992,12.94,"E",,1997,22.59,"E",,2002,10.91,"E",,2007,5.429,"E",,2012,5.317,"E",,2015,5.138,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Burkina Faso","Agriculture, value added (% GDP) (%)",1962,39.49,"E",,1967,34.21,"E",,1972,33.19,"E",,1977,30.36,"E",,1982,28.41,"E",,1987,28.88,"E",,1992,30.17,"E",,1997,36.77,"E",,2002,38.55,"E",,2007,32.67,"E",,2012,35.06,"E",,2015,32.94,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Burundi","Agriculture, value added (% GDP) (%)",,,"",,,,"",,1972,65.32,"E",,1977,63.84,"E",,1982,56.86,"E",,1987,55.11,"E",,1992,53.53,"E",,1997,47.73,"E",,2002,45.79,"E",,2007,37.34,"E",,2012,40.58,"E",,2015,42.89,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Cabo Verde","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,1982,12.58,"E",,1987,17.65,"E",,1992,11.79,"E",,1997,11.68,"E",,2002,10.35,"E",,2007,8.518,"E",,2012,8.447,"E",,2015,7.724,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Cambodia","Agriculture, value added (% GDP) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,46.34,"E",,2002,32.87,"E",,2007,31.88,"E",,2012,35.6,"E",,2015,28.25,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Cameroon","Agriculture, value added (% GDP) (%)",,,"",,1967,31.13,"E",,1972,31.97,"E",,1977,33.65,"E",,1982,28.66,"E",,1987,24.82,"E",,1992,27.27,"E",,1997,24.74,"E",,2002,22.14,"E",,2007,22.9,"E",,2012,23.18,"E",,2015,23.95,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
