"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Afghanistan","Dependency ratio (%)",1962,28.72,"K",,1967,28.72,"K",,1972,28.72,"K",,1977,28.72,"K",,1982,28.72,"K",,1987,28.72,"K",,1992,28.72,"K",,1997,28.72,"K",,2002,28.72,"K",,2007,28.72,"K",,2012,28.72,"K",,2014,28.72,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Albania","Dependency ratio (%)",1962,10.93,"I",,1967,10.93,"I",,1972,10.93,"I",,1977,10.93,"I",,1982,10.93,"I",,1987,10.93,"I",,1992,10.93,"I",,1997,10.93,"I",,2002,10.93,"I",,2007,10.93,"I",,2012,10.93,"I",,2014,10.93,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Algeria","Dependency ratio (%)",1962,3.599,"",,1967,3.599,"",,1972,3.599,"",,1977,3.599,"",,1982,3.599,"",,1987,3.599,"",,1992,3.599,"",,1997,3.599,"",,2002,3.599,"",,2007,3.599,"",,2012,3.599,"",,2014,3.599,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Andorra","Dependency ratio (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Angola","Dependency ratio (%)",1962,0.2695,"I",,1967,0.2695,"I",,1972,0.2695,"I",,1977,0.2695,"I",,1982,0.2695,"I",,1987,0.2695,"I",,1992,0.2695,"I",,1997,0.2695,"I",,2002,0.2695,"I",,2007,0.2695,"I",,2012,0.2695,"I",,2014,0.2695,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
