"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Afghanistan","Total renewable water resources per capita (m3/inhab/year)",1962,6992.0,"K",,1967,6301.0,"K",,1972,5576.0,"K",,1977,5004.0,"K",,1982,5157.0,"K",,1987,5762.0,"K",,1992,4753.0,"K",,1997,3623.0,"K",,2002,3040.0,"K",,2007,2525.0,"K",,2012,2198.0,"K",,2014,2008.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Albania","Total renewable water resources per capita (m3/inhab/year)",1962,17376.0,"K",,1967,15108.0,"K",,1972,13398.0,"K",,1977,11994.0,"K",,1982,10832.0,"K",,1987,9676.0,"K",,1992,9318.0,"K",,1997,9767.0,"K",,2002,9670.0,"K",,2007,10030.0,"K",,2012,10482.0,"K",,2014,10425.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Algeria","Total renewable water resources per capita (m3/inhab/year)",1962,998.3,"K",,1967,873.9,"K",,1972,758.9,"K",,1977,659.7,"K",,1982,567.2,"K",,1987,487.9,"K",,1992,429.3,"K",,1997,390.5,"K",,2002,364.8,"K",,2007,340.6,"K",,2012,311.7,"K",,2014,294.2,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Andorra","Total renewable water resources per capita (m3/inhab/year)",1962,20520.0,"E",,1967,15210.0,"E",,1972,11737.0,"E",,1977,9631.0,"E",,1982,8070.0,"E",,1987,6513.0,"E",,1992,5358.0,"E",,1997,4920.0,"E",,2002,4442.0,"E",,2007,3718.0,"E",,2012,3979.0,"E",,2014,4479.0,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Angola","Total renewable water resources per capita (m3/inhab/year)",1962,27150.0,"K",,1967,24887.0,"K",,1972,22526.0,"K",,1977,19784.0,"K",,1982,16848.0,"K",,1987,14427.0,"K",,1992,12524.0,"K",,1997,10752.0,"K",,2002,9212.0,"K",,2007,7736.0,"K",,2012,6541.0,"K",,2014,5931.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Antigua and Barbuda","Total renewable water resources per capita (m3/inhab/year)",1962,923.5,"K",,1967,838.7,"K",,1972,773.8,"K",,1977,740.5,"K",,1982,754.2,"K",,1987,819.2,"K",,1992,819.8,"K",,1997,719.9,"K",,2002,649.8,"K",,2007,616.1,"K",,2012,583.8,"K",,2014,566.3,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Argentina","Total renewable water resources per capita (m3/inhab/year)",1962,41159.0,"K",,1967,38209.0,"K",,1972,35355.0,"K",,1977,32598.0,"K",,1982,30220.0,"K",,1987,27970.0,"K",,1992,26035.0,"K",,1997,24452.0,"K",,2002,23125.0,"K",,2007,21921.0,"K",,2012,20815.0,"K",,2014,20181.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Armenia","Total renewable water resources per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,2252.0,"K",,1997,2476.0,"K",,2002,2550.0,"K",,2007,2600.0,"K",,2012,2609.0,"K",,2014,2574.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Australia","Total renewable water resources per capita (m3/inhab/year)",1962,46020.0,"K",,1967,41082.0,"K",,1972,36815.0,"K",,1977,34619.0,"K",,1982,32581.0,"K",,1987,30156.0,"K",,1992,28053.0,"K",,1997,26576.0,"K",,2002,25213.0,"K",,2007,23455.0,"K",,2012,21474.0,"K",,2014,20527.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Austria","Total renewable water resources per capita (m3/inhab/year)",1962,10866.0,"K",,1967,10513.0,"K",,1972,10259.0,"K",,1977,10189.0,"K",,1982,10239.0,"K",,1987,10192.0,"K",,1992,9945.0,"K",,1997,9694.0,"K",,2002,9575.0,"K",,2007,9360.0,"K",,2012,9190.0,"K",,2014,9093.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Azerbaijan","Total renewable water resources per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,4654.0,"K",,1997,4378.0,"K",,2002,4188.0,"K",,2007,3958.0,"K",,2012,3705.0,"K",,2014,3555.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bahamas","Total renewable water resources per capita (m3/inhab/year)",1962,5780.0,"K",,1967,4587.0,"K",,1972,3937.0,"K",,1977,3551.0,"K",,1982,3177.0,"K",,1987,2876.0,"K",,1992,2631.0,"K",,1997,2439.0,"K",,2002,2264.0,"K",,2007,2045.0,"K",,2012,1880.0,"K",,2014,1804.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bahrain","Total renewable water resources per capita (m3/inhab/year)",1962,670.1,"K",,1967,591.2,"K",,1972,505.2,"K",,1977,382.6,"K",,1982,300.5,"K",,1987,258.4,"K",,1992,221.9,"K",,1997,194.0,"K",,2002,159.9,"K",,2007,113.0,"K",,2012,86.96,"K",,2014,84.24,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bangladesh","Total renewable water resources per capita (m3/inhab/year)",1962,24044.0,"K",,1967,20579.0,"K",,1972,18157.0,"K",,1977,16393.0,"K",,1982,14289.0,"K",,1987,12501.0,"K",,1992,11055.0,"K",,1997,9929.0,"K",,2002,9007.0,"K",,2007,8370.0,"K",,2012,7903.0,"K",,2014,7621.0,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Barbados","Total renewable water resources per capita (m3/inhab/year)",1962,343.9,"K",,1967,338.1,"K",,1972,331.4,"K",,1977,321.5,"K",,1982,315.2,"K",,1987,310.6,"K",,1992,305.1,"K",,1997,299.7,"K",,2002,294.7,"K",,2007,289.6,"K",,2012,284.1,"K",,2014,281.5,"K",

