Nation,Population (inhab/km2),Agri val (% GDP),Precipitation (10^9 m3/yr),Dependency (%),Tot renew-water (m3/inhab/yr),Water pres (%),Tot agri water use (%),Water use (m3/yr/person),Irrig area (1000 ha),Irrig/cultivated area (%)
AFG,41.97,29.075,213.5,28.72,2442.75,31.04,98.62,943.8,3208,41.38
AGO,16.645,8.16,1259,0.27,7355,0.45,26.79,38.27,85.53,2.32
ALB,103.575,21.955,42.69,10.93,10151.75,5.21,48.58,511.95,347.85,49.875
ARE,82.275,1.135,6.52,0,25.57,1711.5,80.66,760.4,159.3,108.66
ARG,14.695,8.655,1643,66.67,21510.5,4.3,73.93,897.5,2357,5.78
ARM,101.15,21.415,16.71,11.71,2583.25,34.77,77.585,899.225,273.5,54.87
ATG,196.2,2.13,0.45,0,604,9.135,15.565,114.315,0.38,7.69
AUS,2.825,2.885,4134,0,22667.25,3.67,63.83,857.575,2465,5.34
AUT,99.6,1.555,93.11,29.21,9304.5,4.605,2.47,432.5,105.975,7.395
AZE,104.38,8.615,38.71,76.6,3851.5,33.32,80.145,1291.75,1425.5,67.91
BDI,332.2,41.645,35.46,19.75,1396.25,2.3,77.08,40.22,21.43,1.59
BEL,355.775,0.91,25.86,34.43,1686.75,34.52,0.61,590.97,22.17,2.615
BEN,80.72,25.735,119.2,60.97,2910.5,0.49,45.38,17.53,17.65,0.58
BFA,55.845,34.805,205.1,7.41,900.925,5.68,55.11,57.79,39.635,0.705
BGD,1010.5,18.245,395.25,91.44,8225.25,2.92,87.82,231,5050,59.27
BGR,67.32,6.7,67.485,1.41,2854,28.325,14.18,806.625,115.55,3.385
BHR,1477.25,0.29,0.06,96.55,111.025,205.8,44.54,348,4.06,78.08
BLR,46.205,9.765,128.3,41.28,6037.5,2.85,27.69,172,72.575,1.275
BLZ,13.675,14.82,39.16,29.79,70178.75,0.46,67.72,385.2,3.55,3.48
BRA,23.02,5.43,14995,34.53,44234.75,0.765,57.295,335.45,5000.5,6.43
BRB,647.375,1.39,0.61,0,287.475,87.5,67.65,293.3,5.43,38.82
BTN,18.055,19.905,85.39,0,113841.5,0.43,94.08,454.5,29.795,23.04
BWA,3.49,2.605,242,80.39,6085,1.58,41.24,108.6,1.44,0.58
CAN,3.385,1.635,5362,1.79,86177.25,1.38,8.93,1183,1218,2.44
